,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Random Forest,0.8844603174603175,0.8646538080247665,0.8800516896496787,0.8722848019089728,0.9527553892032147
Logistic Regression,0.883968253968254,0.8670769554468466,0.8753960807916306,0.8712166590324513,0.9515561041930948
XGBoost,0.8883333333333333,0.8693343084504345,0.8837690959621887,0.8764922752808989,0.9553765476390333
